"transcript_id","gene_id","X128.cell.1","X128.cell.2","X128.cell.3","X128.cell.4","X128.cell.5","Day.4.1","Day.4.2","Day.4.3","Day.4.4","Day.4.5"
"ENSDART00000000042","ENSDARG00000033231",502.389139545192,448.143298682341,484.842938868108,439.337449116579,458.481506516632,0,0,1.04954838755273,3.36647577797909,1.1413348661831
"ENSDART00000000087","ENSDARG00000000086",55.6850325196254,76.5441838625312,57.0403457491892,57.7276039641425,70.6326392432775,112.243875239153,133.49046729427,119.648516181011,157.102202972358,111.850816885943
"ENSDART00000000192","ENSDARG00000000183",134.01123210767,116.451835278039,154.579336980303,103.30202814636,128.021658628441,78.6864280027054,98.29752591669,73.4683871286909,62.8408811889431,92.4481241608308
"ENSDART00000000198","ENSDARG00000000189",0,7.19646173066533,1.71121037247567,8.50722584734731,6.93713421139333,0,0,0,0,0
"ENSDART00000000221","ENSDARG00000036830",1.83577030284479,0.654223793696848,2.85201728745946,0.607658989096237,0,1319.1548223983,1208.69550386449,1303.53909734049,1300.58180889259,1427.80991759505
"ENSDART00000000280","ENSDARG00000076182",0,0,0,0.607658989096237,0.630648564672121,9.2572268238477,7.28129821605112,9.44593548797454,3.36647577797909,3.42400459854929
"ENSDART00000000392","ENSDARG00000000380",0,0,0,0.607658989096237,0,68.2720478258768,74.0265318631863,69.27019357848,70.695991337561,91.3067892946477
"ENSDART00000000552","ENSDARG00000000529",160.323939781779,172.715081535968,122.066339903265,153.130065252252,144.418521309916,13.8858402357715,0,1.04954838755273,3.36647577797909,13.6960183941972
"ENSDART00000000804","ENSDARG00000043406",31.8200185826431,45.1414417650825,30.8017867045621,39.4978342912554,39.1002110096715,0,3.64064910802556,15.7432258132909,1.1221585926597,0
"ENSDART00000000876","ENSDARG00000000796",26.9246311083903,30.094294510055,20.5345244697081,33.421244400293,17.6581598108194,35.8717539424098,43.6877892963067,54.5765161527418,40.3977093357491,52.5014038444224
"ENSDART00000001159","ENSDARG00000004115",129.727768067699,126.919415977188,113.510288040886,115.455207928285,123.607118675736,87.9436548265531,80.0942803765623,72.4188387411381,81.9175772641579,65.0560873724365
"ENSDART00000001331","ENSDARG00000001169",21.4173201998559,24.2062803667834,23.3865417571676,15.7991337165022,24.5952940222127,21.9859137066383,19.416795242803,20.9909677510545,15.7102202972358,27.3920367883943
"ENSDART00000001649","ENSDARG00000001431",9.79077494850557,22.2436089856928,16.5417002672649,12.1531797819247,11.9823227287703,1729.94426270654,1601.88560753125,1614.20542005609,1538.47943053645,1750.80768472487
"ENSDART00000001678","ENSDARG00000001452",107.08660099928,123.648297008704,105.524639636,122.139456808344,107.840904558933,26.6145271185621,19.416795242803,27.2882580763709,20.1988546678746,23.968032189845
"ENSDART00000001803","ENSDARG00000001557",56.296955953907,54.3005748768384,47.9138904293189,60.7658989096237,59.9116136438515,33.5574472364479,27.9116431615293,29.3873548514763,44.8863437063879,35.381380851676
"ENSDART00000002075","ENSDARG00000008491",0.611923434281598,1.3084475873937,0.570403457491892,2.43063595638495,1.26129712934424,84.4721947676102,97.0839762140149,94.4593548797454,88.6505288201161,99.2961333579293
"ENSDART00000002094","ENSDARG00000011326",0,0,0.570403457491892,0,0.630648564672121,1.15715335298096,1.21354970267519,0,3.36647577797909,4.56533946473238
"ENSDART00000002096","ENSDARG00000013221",0,5.23379034957478,0,0,0,15.0429935887525,19.416795242803,8.39638710042181,35.9090749651103,18.2613578589295
"ENSDART00000002186","ENSDARG00000006074",203.770503615772,225.052985031716,207.626858527049,210.857669216394,194.239757919013,53.2290542371243,63.1045845391097,44.0810322772145,53.8636124476655,60.4907479077041
"ENSDART00000002231","ENSDARG00000007671",4.28346403997119,14.3929234613307,12.5488760648216,8.50722584734731,13.8742684227867,84.4721947676102,48.5419881070074,97.6080000424036,61.7187225962834,52.5014038444224
"ENSDART00000002241","ENSDARG00000019588",25.7007842398271,24.2062803667834,31.372190162054,29.1676314766194,34.6856710569666,6.94292011788577,0,2.09909677510545,7.85511014861788,3.42400459854929
"ENSDART00000002401","ENSDARG00000007764",102.191213525027,107.94692595998,126.6295675632,113.632230960996,119.192578723031,9.2572268238477,23.0574443508285,9.44593548797454,26.9318062238327,3.42400459854929
"ENSDART00000002463","ENSDARG00000008765",69.1473480738206,104.675806991496,79.8564840488648,95.4024612881092,103.426364606228,33.5574472364479,18.2032455401278,0,23.5653304458537,12.5546835280141
"ENSDART00000002501","ENSDARG00000008310",23.2530905027007,28.1316231289645,32.5129970770378,26.7369955202344,28.3791854102454,62.4862810609719,49.7555378096826,35.6846451767927,51.6192952623461,60.4907479077041
"ENSDART00000002545","ENSDARG00000020840",206.218197352898,206.734718808204,174.543457992519,204.173420336336,198.023649307046,104.143801768287,105.578824132741,86.0629677793236,78.5511014861788,115.274821484493
"ENSDART00000002624","ENSDARG00000014817",53.8492622167806,67.3850507507753,75.2932563889297,92.9718253317242,51.0825337384418,63.6434344139529,57.0368360257337,62.9729032531636,71.8181499302206,54.7840735767886
"ENSDART00000002641","ENSDARG00000042368",4.89538747425278,10.4675806991496,9.69685877736216,9.72254382553979,10.0903770347539,69.4292011788577,64.3181342417848,65.0720000282691,66.2073569669222,61.6320827738872
"ENSDART00000002682","ENSDARG00000032765",4.28346403997119,0,0,0,0,0,0,11.54503226308,1.1221585926597,0
"ENSDART00000002714","ENSDARG00000011049",137.070849279078,140.658115644822,134.044812510595,108.770959048226,122.976470111064,18.5144536476954,21.8438946481533,19.9414193635018,26.9318062238327,19.4026927251126
